pincode,latitude,longitude
140117,31.1333,76.5417
140118,31.25,76.5
140119,31.1333,76.5417
140123,31.4,76.1167
140124,31.3833,76.25
140125,31.3667,76.3833
140126,31.3833,76.25
140202,30.7871,76.5526
140301,30.7444,76.6478
140306,30.7222,76.6572
140307,30.7,76.6667
140401,30.4831,76.595
140405,30.4831,76.595
140406,30.4831,76.595
140412,30.5872,76.8428
140413,30.5872,76.8428
140501,30.7871,76.5526
140502,30.7871,76.5526
140506,30.7871,76.5526
140601,30.5556,76.7183
140602,30.5958,76.6328
140701,30.4172,76.5064
140702,30.3322,76.6072
140801,30.7833,76.3833
140802,30.7833,76.3833
141001,30.8676,75.8444
141002,30.9,75.85
141003,30.9,75.85
141004,30.9,75.85
141005,30.9,75.85
141007,30.9,75.85
141008,30.9,75.85
141102,30.6833,75.625
141104,30.6833,75.625
141105,30.6833,75.625
141106,30.6833,75.625
141107,30.7167,75.65
141108,30.6833,75.625
141109,30.65,75.6
141111,30.7949,76.1071
141113,30.7949,76.1071
141114,30.8367,76.1897
141115,30.9147,76.1983
141116,30.7949,76.1071
141118,30.7949,76.1071
141119,30.6333,75.9333
141120,30.7503,75.9143
141121,30.7503,75.9143
141122,30.7503,75.9143
141124,30.7503,75.9143
141201,30.75,75.75
141203,30.75,75.75
141204,30.75,75.75
141205,30.75,75.75
141206,30.75,75.75
141302,31.0917,75.6081
141303,31.1667,75.6167
141305,19.9833,80.7333
141307,31.0917,75.6081
141308,31.0119,75.6111
141309,31.0964,75.5967
141310,31.1258,75.4733
141311,31.0879,75.4783
141315,31.05,75.4833
141317,31.0879,75.4783
141401,30.8167,76.0333
141402,30.8167,76.0333
141412,30.8167,76.05
141413,30.8167,76.05
141414,30.8167,76.05
141415,30.8167,76.05
141416,30.8167,76.05
141417,30.8167,76.05
141418,30.8167,76.05
141419,30.8167,76.05
141421,30.8167,76.0167
142001,30.7457,75.2044
142011,31.1833,75.25
142021,30.7457,75.2044
142022,30.7457,75.2044
142023,30.7457,75.2044
142026,30.7457,75.2044
142027,30.7457,75.2044
142029,30.7457,75.2044
142030,30.675,75.4167
142031,30.675,75.4167
142032,30.6667,75.55
142034,30.675,75.4167
142035,30.675,75.4167
142036,30.675,75.4167
142037,30.6833,75.2833
142040,31.1033,74.9978
142042,31.1033,74.9978
142044,31.1033,74.9978
142046,31.1033,74.9978
142047,31.1033,74.9978
142048,31.1033,74.9978
142050,30.85,74.9333
142051,30.5278,75.1167
142052,30.5278,75.1167
142053,30.75,75.3333
142055,30.5278,75.1167
142056,30.5278,75.1167
142057,30.5278,75.1167
142059,30.5278,75.1167
142061,30.7457,75.2044
143001,31.6331,74.8656
143002,31.6331,74.8656
143003,31.6331,74.8656
143004,31.6331,74.8656
143006,31.6331,74.8656
143036,31.6331,74.8656
143101,31.7192,74.7978
143102,31.8425,74.7589
143103,31.8528,74.8183
143104,31.6331,74.8656
143105,31.7428,74.8681
143106,31.7428,74.8681
143107,31.7428,74.8681
143108,31.7428,74.8681
143109,31.6667,75.1
143110,31.4974,75.0883
143111,31.4974,75.0883
143112,31.4974,75.0883
143113,31.4974,75.0883
143115,31.5614,75.0267
143116,31.4974,75.0883
143117,31.4974,75.0883
143118,31.4333,75.15
143144,31.6727,74.931
143202,31.555,75.2656
143204,31.5689,75.2744
143205,31.5828,75.2833
143301,31.3947,74.6169
143304,31.3947,74.6169
143305,31.3947,74.6169
143401,31.2745,74.7722
143406,31.2745,74.7722
143407,31.2745,74.7722
143408,31.2745,74.7722
143410,31.2834,74.7797
143411,31.2834,74.7797
143412,31.1669,74.9481
143414,31.5,74.6667
143415,31.3267,74.8597
143416,31.2808,74.8572
143417,31.2834,74.7797
143418,31.2834,74.7797
143419,31.1428,74.5667
143420,31.23,74.7347
143421,31.23,74.7347
143501,31.6664,74.9325
143502,31.7161,75.0328
143504,31.7586,75.067
143505,31.7586,75.067
143506,31.8186,75.2028
143507,31.8333,75.1
143508,31.7586,75.067
143510,31.886,75.3556
143512,31.886,75.3556
143513,31.886,75.3556
143514,31.886,75.3556
143515,31.9542,75.3192
143516,31.8178,75.3919
143518,31.886,75.3556
143521,31.8453,75.4496
143523,31.8453,75.4496
143524,31.8453,75.4496
143526,31.8453,75.4496
143527,31.7833,75.45
143528,31.9072,75.4492
143529,31.8453,75.4496
143530,31.8121,75.2348
143531,31.8121,75.2348
143533,31.8121,75.2348
143534,31.8121,75.2348
143535,31.8121,75.2348
143536,31.8121,75.2348
143537,31.8121,75.2348
143538,31.8121,75.2348
143601,31.7583,74.9544
143602,31.8644,74.9511
143603,31.8854,74.9741
143604,32.0333,75.0167
143605,31.8854,74.9741
143606,31.8854,74.9741
143607,31.8854,74.9741
144001,31.3256,75.5792
144002,31.3256,75.5792
144003,31.3166,75.5666
144004,31.3256,75.5792
144005,31.3256,75.5792
144006,31.3256,75.5792
144007,31.3256,75.5792
144009,31.3256,75.5792
144010,31.3332,75.59
144011,31.3332,75.59
144020,31.3524,75.6171
144021,31.3256,75.5792
144022,31.3524,75.6171
144023,31.3524,75.6171
144025,31.3792,75.655
144026,31.3524,75.6171
144027,31.3524,75.6171
144028,31.3524,75.6171
144101,31.3654,75.7531
144102,31.3654,75.7531
144103,31.3654,75.7531
144104,31.3654,75.7531
144203,31.6874,75.742
144204,31.6919,75.6347
144205,31.6874,75.742
144206,31.6874,75.742
144207,31.7325,75.7506
144208,31.6378,75.8408
144209,31.6874,75.742
144214,31.7974,75.7566
144216,31.7974,75.7566
144218,31.7974,75.7566
144221,31.9756,75.7578
144222,31.9494,75.7989
144223,31.9625,75.7783
144301,31.4328,75.6508
144303,31.4328,75.6508
144304,31.4328,75.6508
144305,31.4328,75.6508
144401,31.2178,75.7694
144402,31.2178,75.7694
144403,31.2178,75.7694
144404,31.2178,75.7694
144405,31.2178,75.7694
144406,31.2178,75.7694
144407,31.2178,75.7694
144408,31.2178,75.7694
144410,31.0292,75.7842
144415,30.6328,76.0147
144417,30.9262,76.133
144418,31.1167,76.6
144419,30.9262,76.133
144421,30.9991,76.0421
144422,30.9991,76.0421
144502,31.1869,75.9922
144503,31.1869,75.9922
144505,31.1869,75.9922
144506,31.1869,75.9922
144508,31.1869,75.9922
144509,31.1869,75.9922
144510,31.0667,76.1667
144511,31.0667,76.1667
144512,31.0667,76.1667
144514,31.0667,76.1667
144515,31.0833,76.2167
144516,31.0667,76.1667
144517,31.05,76.1167
144518,31.0667,76.1667
144521,31.1676,76.1189
144522,31.1676,76.1189
144524,31.1676,76.1189
144525,31.1676,76.1189
144526,31.1676,76.1189
144528,31.1676,76.1189
144529,31.1676,76.1189
144530,31.35,76.15
144532,31.35,76.15
144601,31.3794,75.3847
144606,31.3794,75.3847
144619,31.3794,75.3847
144623,31.3794,75.3847
144624,30.3747,76.1486
144626,31.3794,75.3847
144628,31.3794,75.3847
144629,31.3794,75.3847
144631,31.3794,75.3847
144632,31.3794,75.3847
144633,31.3794,75.3847
144701,31.3654,75.7531
144703,31.3654,75.7531
144801,31.44,75.4997
144802,31.4785,75.4249
144803,31.4785,75.4249
144804,31.5169,75.35
144806,31.4785,75.4249
145001,32.2833,75.65
145002,32.2833,75.65
145021,32.2556,75.3778
145022,32.45,75.8833
145024,32.3667,75.6
145025,31.95,74.65
145026,32.2556,75.3778
145027,32.2556,75.3778
146001,31.5322,75.9172
146021,31.5322,75.9172
146022,31.5322,75.9172
146023,31.5322,75.9172
146101,31.5322,75.9172
146102,31.5322,75.9172
146105,31.5322,75.9172
146106,31.5322,75.9172
146107,31.5322,75.9172
146108,31.5322,75.9172
146109,31.5322,75.9172
146111,31.5322,75.9172
146112,31.5322,75.9172
146114,31.5322,75.9172
146115,31.5322,75.9172
147001,30.3267,76.4003
147002,30.3267,76.4003
147021,30.3267,76.4003
147101,30.1583,76.1931
147102,30.2304,76.3242
147103,30.3025,76.4553
147104,30.2304,76.3242
147105,30.2304,76.3242
147201,30.3747,76.1486
147203,30.6081,76.2303
147205,30.4914,76.1894
147301,30.3541,76.2855
148001,30.2333,75.8333
148004,30.2333,75.8333
148005,30.2333,75.8333
148006,30.2333,75.8333
148007,30.2333,75.8333
148008,30.2333,75.8333
148009,30.2333,75.8333
148020,30.3667,75.8667
148021,30.3667,75.8667
148022,30.3667,75.8667
148023,30.3667,75.8667
148024,30.3667,75.8667
148027,30.3667,75.8667
148029,30.3667,75.8667
148031,29.9417,75.9333
148032,29.9417,75.9333
148033,29.8167,75.8833
148034,29.9417,75.9333
148035,30.0667,75.9833
148036,29.9417,75.9333
148038,29.9417,75.9333
148039,29.9417,75.9333
148040,30.0333,75.3
148043,30.0333,75.3
148045,30.0333,75.3
148046,30.0333,75.3
148047,30.0333,75.3
148048,30.0333,75.3
